monitor,pollutant,slope,intercept,r2,rmse,n_points,method,reference_monitor,colocation_start,colocation_end,fitted_on,window_name
MOD-00397,pm1,0.967096105417597,0.8584434144633382,0.9458623178036916,2.555318426619948,39332,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-00398,pm1,1.0157428707088278,0.43018644226584973,0.968135793987616,2.125193297029205,35049,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-00399,pm1,1.1263505051146805,0.1663670740236089,0.9814671752691276,1.46967171767962,36209,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-00400,pm1,1.03452877797458,0.05566829233006368,0.9820268643829796,1.4742860415093582,29331,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-00401,pm1,1.079233036815722,0.4895747618192191,0.9782807801232464,1.6995853975803854,33055,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00876,pm1,0.9919004066380273,0.0258534702361801,0.9649926750603856,2.092424855582347,26060,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00877,pm1,1.009565998805399,-0.03491755053145309,0.9773014579292764,1.5332163366032097,29114,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00878,pm1,1.0750865643577878,-0.1672602564967807,0.9559333310752428,2.3779257902714956,16678,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00879,pm1,1.0648145638605864,0.11439871778102506,0.9778268287257188,1.5597084200376143,26967,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00880,pm1,0.985408139476295,-0.22017251943598748,0.9725253072032674,1.8841611540421443,18546,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00881,pm1,0.9350231576019876,0.3671929030681784,0.9653720275287264,1.7695504296639732,29574,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00882,pm1,1.0655372147913835,0.14070614080619262,0.9867934347907064,1.1629750273327106,36232,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00883,pm1,0.9279826032525608,-0.00299804936336066,0.97760408470834,1.501355027023877,33133,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00884,pm1,0.8663238629757948,0.07295214778051325,0.9621793650299733,1.9313853626607955,34109,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00885,pm1,1.0284412284782454,-0.5365432927860869,0.976117109101498,1.7407213537704027,24391,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00886,pm1,0.9004618113170427,-0.576401013125051,0.96744357281122,1.750690771701593,28123,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00887,pm1,0.9659269336058968,0.156358705551866,0.9750078460913212,1.5663667300738522,29310,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00888,pm1,0.9214860140750258,0.11286757837605246,0.9600793785395232,1.9625590338101355,17745,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00889,pm1,0.8952622511460006,0.10724756488615796,0.9865228664226918,1.0364548165382,21752,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00890,pm1,0.9462671836178552,-0.26590925057904763,0.981489314843436,1.1899856188380222,33349,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00891,pm1,0.9838240350902638,-0.3137231106459882,0.9758281099661346,1.6131369396321522,43480,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00892,pm1,0.9685713921807652,-0.22894577835304333,0.966625758685188,1.2583984890038888,7672,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00893,pm1,1.0320839602634275,-0.01972022478671756,0.9643011018507408,1.8036897547590056,21713,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00894,pm1,0.9900856740962164,-0.7015659325937921,0.9735390627345286,1.7701016221531836,36786,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00895,pm1,0.9103822277458165,0.1690989840080468,0.981361358356578,0.9985454645381728,16041,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00896,pm1,0.9159110481832284,-0.7716294439591116,0.9732774670898116,1.6228712377970056,37800,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00897,pm1,0.9935090187150486,-0.03447871073778768,0.9819846035537738,1.3949518446946836,27553,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00898,pm1,0.9503444511947214,0.2727667969221371,0.971458542690814,1.8349215202739255,30568,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00899,pm1,0.9910957951653342,-0.8207520512129645,0.9757183011496346,1.6866773870262433,39575,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00900,pm1,0.9204904566762664,-0.12581044145604828,0.9774305328746768,1.451661428071031,33902,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01051,pm1,1.13112353226646,-0.5827930312907529,0.973758970675477,1.6798325261199525,32750,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01052,pm1,1.0740606169440798,0.02785619756546024,0.9866489028517332,1.2872862941234666,20560,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01053,pm1,1.17176006549242,0.09633557348622045,0.9840626194931456,1.393921357302431,22312,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01054,pm1,1.028285064107468,0.00618407072361142,0.9813897795921762,1.3550218938487664,15779,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
