row_id,monitor,date_hour,date,hour,season,sin_hour,cos_hour,season_binary,mod_pm25,mod_pm1,mod_pm10,mod_temp,mod_rh,grimm_pm25,split_day_block
1,MOD-PM-00884,2025-08-11T15:00:00Z,2025-08-11,15,Not Harmattan,-0.7071067811865471,-0.7071067811865479,0,28.34580108080734,27.432117326870273,27.278433253463927,29.274333333333335,63.61066666666667,12.753846153846151,train
2,MOD-PM-00884,2025-08-11T16:00:00Z,2025-08-11,16,Not Harmattan,-0.8660254037844384,-0.5000000000000004,0,26.15189766887899,25.329227851939308,26.32478646099498,29.145333333333333,66.25633333333333,14.813333333333333,train
3,MOD-PM-00884,2025-08-11T17:00:00Z,2025-08-11,17,Not Harmattan,-0.9659258262890683,-0.25881904510252063,0,54.44071547218859,51.96872427221245,47.90300307535035,29.045471698113207,66.59528301886792,13.878333333333334,train
4,MOD-PM-00884,2025-08-11T18:00:00Z,2025-08-11,18,Not Harmattan,-1,-1.8369701987210297e-16,0,38.9843137329758,37.3066346587783,35.71171323869893,28.0034,69.5386,13.393333333333333,train
5,MOD-PM-00884,2025-08-11T19:00:00Z,2025-08-11,19,Not Harmattan,-0.9659258262890684,0.2588190451025203,0,30.793364812890815,29.66551800734859,29.383295668028907,27.13,71.38542372881356,22.465,train
6,MOD-PM-00884,2025-08-11T20:00:00Z,2025-08-11,20,Not Harmattan,-0.8660254037844386,0.5000000000000001,0,27.444837753368656,26.5269900796075,26.265067979069777,26.9545,71.69516666666667,17.491666666666667,train
7,MOD-PM-00884,2025-08-11T21:00:00Z,2025-08-11,21,Not Harmattan,-0.7071067811865477,0.7071067811865474,0,27.59914469960759,26.67248993870987,26.50308855984707,26.861666666666668,73.25733333333334,15.225,train
8,MOD-PM-00884,2025-08-11T22:00:00Z,2025-08-11,22,Not Harmattan,-0.5000000000000004,0.8660254037844384,0,14.796981757840658,14.581248544989164,16.476349123517398,26.28142857142857,75.44285714285715,15.9,train
9,MOD-PM-00884,2025-08-11T23:00:00Z,2025-08-11,23,Not Harmattan,-0.25881904510252157,0.9659258262890681,0,8.402112591566578,8.556035645559248,11.529267868452786,25.765,76.345,11.3,train
10,MOD-PM-00884,2025-08-12T00:00:00Z,2025-08-12,0,Not Harmattan,0,1,0,8.248254271311161,8.436776935182996,11.096447148302124,25.369,78.47616666666667,7.323333333333333,train
11,MOD-PM-00884,2025-08-12T01:00:00Z,2025-08-12,1,Not Harmattan,0.25881904510252074,0.9659258262890683,0,3.816298572258573,4.295561984679466,7.77556858184184,24.9035,80.48633333333333,6.75,train
12,MOD-PM-00884,2025-08-12T02:00:00Z,2025-08-12,2,Not Harmattan,0.49999999999999994,0.8660254037844387,0,2.406899260866498,2.980234023972192,6.59356816389582,23.912909090909093,84.98236363636363,4.3999999999999995,train
13,MOD-PM-00884,2025-08-12T03:00:00Z,2025-08-12,3,Not Harmattan,0.7071067811865475,0.7071067811865476,0,1.509744548420729,2.052097675626986,5.819950276679747,23.573,85.48266666666666,4.163333333333333,train
14,MOD-PM-00884,2025-08-12T04:00:00Z,2025-08-12,4,Not Harmattan,0.8660254037844386,0.5000000000000001,0,2.401597317424959,2.9157469781291208,6.90360605321819,23.2705,85.49783333333333,3.1333333333333333,train
15,MOD-PM-00884,2025-08-13T06:00:00Z,2025-08-13,6,Not Harmattan,1,6.123233995736766e-17,0,5.281196714959253,5.561903725742842,9.547543468519477,23.561666666666667,83.41216666666666,7.87,train
16,MOD-PM-00884,2025-08-13T07:00:00Z,2025-08-13,7,Not Harmattan,0.9659258262890683,-0.25881904510252063,0,7.640756426517374,7.748951299331372,12.816659094214517,26.420357142857146,72.43053571428571,7.241666666666666,train
17,MOD-PM-00884,2025-08-13T08:00:00Z,2025-08-13,8,Not Harmattan,0.8660254037844387,-0.49999999999999983,0,8.71556370248392,8.830572374215528,13.215921370333344,28.600350877192984,65.29771929824561,6.575,train
